ip,date,time,zone,cik,accession,extention,code,size,idx,norefer,noagent,find,crawler,browser
117.91.1.gjj,2017-06-29,00:00:00,0.0,312070.0,0001104659-17-042028,-index.htm,403.0,0.0,1.0,0.0,0.0,10.0,0.0,
117.91.1.gjj,2017-06-29,00:00:00,0.0,1053092.0,0000950103-17-006170,-index.htm,403.0,0.0,1.0,0.0,0.0,10.0,0.0,
117.91.1.gjj,2017-06-29,00:00:00,0.0,312070.0,0000950103-17-006180,-index.htm,403.0,0.0,1.0,0.0,0.0,10.0,0.0,
117.91.1.gjj,2017-06-29,00:00:00,0.0,1114446.0,0000914121-17-000844,-index.htm,429.0,5434.0,1.0,0.0,0.0,10.0,0.0,
117.91.1.gjj,2017-06-29,00:00:00,0.0,1053092.0,0001047469-17-004295,-index.htm,403.0,0.0,1.0,0.0,0.0,10.0,0.0,
117.91.1.gjj,2017-06-29,00:00:00,0.0,917851.0,0001104659-17-042032,-index.htm,403.0,0.0,1.0,0.0,0.0,10.0,0.0,
117.91.1.gjj,2017-06-29,00:00:00,0.0,1053092.0,0000950103-17-006170,-index.htm,429.0,5434.0,1.0,0.0,0.0,10.0,0.0,
117.91.1.gjj,2017-06-29,00:00:00,0.0,886982.0,0001193125-17-216855,-index.htm,403.0,0.0,1.0,0.0,0.0,10.0,0.0,
121.40.158.hec,2017-06-29,00:00:00,0.0,1439222.0,0001209191-17-041953,-index.htm,301.0,684.0,1.0,0.0,0.0,10.0,0.0,
121.40.66.bch,2017-06-29,00:00:00,0.0,731766.0,0001209191-17-042119,-index.htm,301.0,683.0,1.0,0.0,0.0,10.0,0.0,
121.40.66.bch,2017-06-29,00:00:00,0.0,731766.0,0001209191-17-042119,-index.htm,206.0,2890.0,1.0,0.0,0.0,10.0,0.0,
121.40.94.bcj,2017-06-29,00:00:00,0.0,1358403.0,0001358403-17-000120,-index.htm,301.0,678.0,1.0,0.0,0.0,10.0,0.0,
121.40.94.bcj,2017-06-29,00:00:00,0.0,1358403.0,0001358403-17-000120,-index.htm,206.0,2885.0,1.0,0.0,0.0,10.0,0.0,
121.40.94.bcj,2017-06-29,00:00:00,0.0,1442836.0,0001209191-17-042067,-index.htm,206.0,2937.0,1.0,0.0,0.0,10.0,0.0,
121.40.94.bcj,2017-06-29,00:00:00,0.0,1442836.0,0001209191-17-042067,-index.htm,301.0,685.0,1.0,0.0,0.0,10.0,0.0,
123.126.113.jgj,2017-06-29,00:00:00,0.0,94074.0,0000094074-17-000005,.txt,200.0,1140171.0,0.0,0.0,0.0,10.0,0.0,
128.122.189.jij,2017-06-29,00:00:00,0.0,1453818.0,0001262959-10-000006,-index.htm,200.0,2832.0,1.0,0.0,0.0,1.0,0.0,
128.135.253.cjj,2017-06-29,00:00:00,0.0,1283843.0,0001144204-13-019989,.txt,301.0,673.0,0.0,0.0,0.0,10.0,0.0,
128.135.253.cjj,2017-06-29,00:00:00,0.0,1283843.0,0001144204-13-027064,.txt,200.0,34086.0,0.0,0.0,0.0,10.0,0.0,
128.135.253.cjj,2017-06-29,00:00:00,0.0,1283843.0,0001144204-13-027064,.txt,301.0,674.0,0.0,0.0,0.0,10.0,0.0,
129.110.242.aef,2017-06-29,00:00:00,0.0,723269.0,0000936392-99-000375,.txt,200.0,9622.0,0.0,0.0,0.0,10.0,0.0,
129.110.242.aef,2017-06-29,00:00:00,0.0,754813.0,0000910680-99-000226,.txt,200.0,8972.0,0.0,0.0,0.0,10.0,0.0,
129.110.242.aef,2017-06-29,00:00:00,0.0,924805.0,0000950135-99-003362,.txt,200.0,7721.0,0.0,0.0,0.0,10.0,0.0,
129.171.249.eij,2017-06-29,00:00:00,0.0,352960.0,0001193125-12-251542,.txt,200.0,583733.0,0.0,0.0,0.0,10.0,0.0,
129.171.249.eij,2017-06-29,00:00:00,0.0,352960.0,0001193125-12-251484,.txt,200.0,709263.0,0.0,0.0,0.0,10.0,0.0,
138.197.41.jdi,2017-06-29,00:00:00,0.0,799088.0,0001193125-15-135751,.txt,200.0,85674.0,0.0,0.0,0.0,10.0,0.0,
157.55.39.aje,2017-06-29,00:00:00,0.0,33213.0,0001104659-13-017012,a13-1782_1def14a.htm,200.0,173616.0,0.0,0.0,0.0,10.0,0.0,
157.55.39.aje,2017-06-29,00:00:00,0.0,883948.0,0000883948-17-000102,exhibit1501_1q17.htm,200.0,1685.0,0.0,0.0,0.0,10.0,0.0,
157.55.39.aje,2017-06-29,00:00:00,0.0,820892.0,0001193125-17-106011,-index.htm,200.0,3135.0,1.0,0.0,0.0,10.0,0.0,
158.116.144.gai,2017-06-29,00:00:00,0.0,1616101.0,0001616101-15-000009,ssrg-20151003x10q.htm,200.0,48426.0,0.0,0.0,0.0,10.0,0.0,
158.132.91.haf,2017-06-29,00:00:00,0.0,820027.0,0001179110-16-018842,.txt,301.0,642.0,0.0,0.0,0.0,10.0,0.0,
165.124.130.igj,2017-06-29,00:00:00,0.0,783739.0,0001085146-14-000406,.txt,200.0,30925.0,0.0,0.0,0.0,10.0,0.0,
